ID,alive,correct_AVE,correct_LIST,genomeLength,incorrect_AVE,incorrect_LIST,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,snapshotAncestors_LIST,update
14,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"0,0,0,0,0,2,1,1",0.625000,"1,2,0,0,0,0,0,2",0.676839,0.676839,"0.676839",-1,"-1",0
15,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"0,1,1,2,1,0,0,1",0.375000,"0,0,1,0,0,0,0,2",0.676839,0.676839,"0.676839",-1,"-1",0
16,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"1,1,0,0,1,2,0,1",0.625000,"0,1,1,0,0,1,0,2",0.676839,0.676839,"0.676839",-1,"-1",0
17,1,28.000000,"28",5000,36.000000,"36",2,2,1.000000,"2,1,0,1,1,2,0,1",0.375000,"0,1,0,2,0,0,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
18,1,28.000000,"28",5000,36.000000,"36",2,2,0.875000,"1,0,1,2,2,1,0,0",1.000000,"0,1,1,3,0,1,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
19,1,28.000000,"28",5000,36.000000,"36",3,3,0.625000,"1,1,2,0,0,0,1,0",0.625000,"0,0,1,0,1,3,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
20,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"0,2,0,1,1,0,1,0",0.625000,"1,0,0,2,0,1,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
21,1,28.000000,"28",5000,36.000000,"36",3,3,1.125000,"3,0,2,0,1,1,1,1",1.000000,"0,1,0,3,2,1,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
22,1,28.000000,"28",5000,36.000000,"36",2,2,0.875000,"0,0,0,0,3,0,3,1",0.750000,"1,1,0,3,0,0,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
23,1,28.000000,"28",5000,36.000000,"36",2,2,1.000000,"1,3,2,0,0,0,1,1",0.250000,"0,0,0,1,0,0,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
24,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"0,0,0,2,1,1,0,0",0.875000,"0,1,2,1,0,0,2,1",0.676839,0.676839,"0.676839",-1,"-1",0
25,1,29.000000,"29",5000,35.000000,"35",2,2,0.750000,"1,1,1,0,1,1,1,0",1.000000,"1,1,2,0,1,1,2,0",0.746215,0.746215,"0.746215",-1,"-1",0
26,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"1,1,1,1,0,1,1,0",0.250000,"0,0,0,0,0,1,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
27,1,28.000000,"28",5000,36.000000,"36",2,2,0.375000,"0,0,0,1,0,0,1,1",0.750000,"2,0,1,0,1,1,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
28,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"1,0,1,1,0,1,1,0",0.625000,"0,1,0,0,2,0,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
29,1,28.000000,"28",5000,36.000000,"36",2,2,0.250000,"1,0,0,1,0,0,0,0",1.000000,"2,0,1,0,2,1,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
30,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"0,0,0,1,2,1,1,1",0.500000,"0,1,0,0,0,1,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
31,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"1,0,0,0,1,0,1,1",0.375000,"0,0,1,1,0,1,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
32,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"1,0,1,1,0,0,0,3",0.250000,"0,0,0,0,0,0,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
33,1,30.000000,"30",5000,34.000000,"34",2,2,0.750000,"0,1,0,1,0,0,2,2",0.500000,"2,1,0,0,0,0,0,1",0.822702,0.822702,"0.822702",-1,"-1",0
34,1,28.000000,"28",5000,36.000000,"36",2,2,0.250000,"0,0,0,0,0,1,0,1",0.250000,"1,0,0,0,0,0,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
35,1,28.000000,"28",5000,36.000000,"36",2,2,1.000000,"1,0,0,0,3,0,3,1",0.875000,"0,1,0,2,1,1,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
